name,tag,description,unit,carbo,fiber,protein,fat,saturated_fat,n3,DHA_EPA,n6,ca,cl,cr,cu,i,fe,mg,mn,mo,p,k,se,na,zn,va,vb1,vb2,vb3,vb5,vb6,vb7,vb9,vb12,vc,vd,ve,vk,colin,kcal,cost
きな粉,豆類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,29.5,15.3,37.5,25.1,3.43,1.96,,11.65,180,,7,1.2,,6.2,250,2.3,370,680,2000,5,2,4,1,0.1,1.2,2.1,0.7,0.3,32.9,250,,,,1,42,190,451,60
菜種油,油脂類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,,,,100,7.06,7.5,,19,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,120,,921,100
煎茶葉,し好飲料類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,47.7,46.5,24.5,4.7,0.62,1.35,,0.59,450,,8,1.3,4,20,200,55,1,290,2200,3,3,3.2,1100,0.36,1.43,4.1,3.1,0.46,51.6,1300,,260,,6,1400,,331,300
昆布粉,藻類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,10,,2.71,,,,,,,71,,1.1,0.01,24000,,51,0.03,1.2,20,610,0.2,280,0.08,9.5,0.05,0.04,0.14,,,0.96,26,,2.5,,,9,,15,150
WPI,乳類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,1.77,,89.26,0.22,,,,,366,,,,,,43,,,,395,,362,,,,,,,,,,,,,,,,366,250
米ぬか,穀類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,48.8,20.5,13.4,16.72,3.45,0.22,,5.68,35,,5,0.48,3,7.6,850,14.97,65,2000,1500,5,7,5.9,,3.12,0.21,34.6,4.43,3.27,38.2,180,,,,10.4,,,412,150
クレアチン,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,,,88,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,360,300
エリスリトールスイート 甘さ五倍 ステビア nichiga版,調味料及び香辛料類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,220
ピュアココアパウダー,し好飲料類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,42.4,23.9,18.5,21.6,12.4,0.04,,0.66,140,,,3.8,,14,440,,,660,2800,,16,7,3,0.16,0.22,6.5,0.85,0.08,,31,,,,0.3,2,,384,200
βアラニン,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,100,2,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,700
スーパーカルシウム ネイチャーメイド版,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,1,0.185,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0.87,5.5
L-カルニチン,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
リアルサプリカリウム リアルサプリメント版,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,8,0.69,,,0.03,,,,,,,,,,,,,,,700,,0.4,,,,,,,,,,,,,,,,1,28
マルチビタミン&ミネラル ネイチャーメイド版,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,2,,0.94,,0.1,,,,,200,,20,0.6,,4,100,,,,,50,,6,300,1,1.7,15,6,2,50,240,3,150,5,26.8,,,,29
マルチビタミン&ミネラル ディアナチュラ版,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,3,0.38,,0.24,0.018,,,,,,,3.34,0.3,,2.27,64,1.27,8.34,,,9.34,,2.94,770,1.2,1.4,13,4.8,1.3,50,240,2.4,100,5.5,6.3,,,2.642,17.27
重酒石酸コリン剤,栄養剤,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,15
オメガ3 魚油 カプセル GloryFeel版,魚介類,hleb2020 第四世代半完全栄養食素材 https_github_com_jSm449g4d_hleb,1,,,0.254,0.987,,0.35,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35,12.7
